Cible,Type,Priorite,URL,Compte_requis,Template,Statut,Lien_obtenu,Notes
threebestrated.ca,Annuaire,1,https://threebestrated.ca/,Non (curaté),-,A_faire,,Demander nomination via leur contact
n49.com,Annuaire,1,https://www.n49.com/,Oui,-,A_faire,,Add a business
opendi.ca,Annuaire,1,https://www.opendi.ca/,Oui,-,A_faire,,
ameublements.ca,Annuaire,1,https://www.ameublements.ca/,A_verifier,-,A_faire,,Categorie armoires
quebec-en-ligne.quebec,Annuaire,1,https://quebec-en-ligne.quebec/,A_verifier,-,A_faire,,Signal geo .quebec
proprioquebec.com,Annuaire,1,https://proprioquebec.com/,Oui,-,A_faire,,Services habitation
provenexpert.com,Avis,2,https://www.provenexpert.com/,Oui,-,A_faire,,Profil avis
growjo.com,Profil_auto,3,https://growjo.com/,Oui,-,A_faire,,Reclamer profil
mergr.com,Profil_auto,3,https://mergr.com/,Oui,-,A_faire,,Reclamer profil
lusha.com,Profil_auto,3,https://www.lusha.com/,Oui,-,A_faire,,Reclamer profil
RBQ,Sectoriel,1,https://www.rbq.gouv.qc.ca/,Oui,-,A_faire,,Verifier licence/registre
APCHQ,Sectoriel,1,https://www.apchq.com/,Oui (membre),-,A_faire,,Adhesion
ACQ,Sectoriel,2,https://www.acq.org/,Oui (membre),-,A_faire,,Adhesion
Houzz,Sectoriel,1,https://www.houzz.com/,Oui,-,A_faire,,Profil pro + photos (essentiel armoires)
PagesJaunes.ca,Annuaire,1,https://business.yellowpages.ca/processus-inscription/#/free-listing-yellow-pages,Oui,-,A_reclamer,,Fiche EXISTE (Constructions Dilamco Inc 18625 Larocque) SANS lien site; reclamer + corriger nom en 'Dilamco inc.' + ajouter https://dilamco.com
Yelp.ca,Annuaire,1,https://www.yelp.ca/,Oui,-,A_faire,,Reclamer/creer fiche
Chambre commerce OdI,Sectoriel,2,https://www.ccoi.ca/,Oui (membre),-,A_faire,,Chambre Ouest-de-l-Ile
deconome.com,Blog_deco,2,https://deconome.com/,Non,A,A_faire,,Pitch projet/expert
je-decore.com,Blog_deco,2,https://www.je-decore.com/,Non,A,A_faire,,
lapiece.ca,Blog_deco,2,https://lapiece.ca/,Non,A,A_faire,,
montrealdecoration.com,Blog_deco,2,https://montrealdecoration.com/,Non,A,A_faire,,
signecaroline.com,Blog_deco,2,https://signecaroline.com/,Non,A,A_faire,,Blogueuse collab
saskiathuot.com,Blog_deco,2,https://saskiathuot.com/,Non,A,A_faire,,Blogueuse collab
obsessiondesign.com,Blog_deco,2,https://obsessiondesign.com/,Non,A,A_faire,,
espacebaindesign.com,Blog_deco,2,https://espacebaindesign.com/,Non,A,A_faire,,Niche salle de bain
grenier.qc.ca,PR,2,https://www.grenier.qc.ca/,Non,B,A_faire,,Communique
macommunaute.ca,PR,2,https://macommunaute.ca/,A_verifier,B,A_faire,,Article communautaire
info-culture.biz,PR,3,https://info-culture.biz/,A_verifier,B,A_faire,,
dessinsdrummond.com,Partenaire,3,https://www.dessinsdrummond.com/,Non,C,A_faire,,Plans de maison
latuilerie.com,Partenaire,3,https://www.latuilerie.com/,Non,C,A_faire,,Tuiles
granitcastello.com,Partenaire,3,https://granitcastello.com/,Non,C,A_faire,,Comptoirs granit
planchercastle.com,Partenaire,3,https://planchercastle.com/,Non,C,A_faire,,Planchers
plomberiemascouche.ca,Partenaire,3,https://plomberiemascouche.ca/,Non,C,A_faire,,Plomberie
